title,author/0,translator/0,o_title,o_language/0,wikidata,notes,links,volume,nybc_id,date,downloads,item_size,place/0,publisher/0,year,author/1,author/2,author/3,place/1,author/4,author/5,translator/1,o_language/1,place/2,publisher/1,o_language/2,translator/2,translator/3,translator/4
Di froy velkhe hot es getohn,"Allen, Grant","Yanovski, Sh.",The Woman who Did,English,Q7775505,,,,difroyvelkheho00alle,1918-01-01T00:00:00Z,155,205055340,,Malerman's Literarishe Poblishing Kompani,1918,,,,,,,,,,,,,,
"Pisroyn khaloymes, oder, troym-bukh","Almuly, Yitschak","B., A.",unknown,Hebrew,,Name might be wrong. Seems to be this: https://www.nli.org.il/he/books/NNL_ALEPH990012026280205171/NLI,,,nybc202422,2021-09-19T00:00:00Z,125,10696146,New York,Hibru poblishing kompani,unknown,,,,,,,,,,,,,,
un anderes,"Altenberg, Peter","Nadir, Moyshe",Wie ich es sehe,German,,,,,nybc205710,1919-01-01T00:00:00Z,145,8646201,New York,Nay-tsayt,1919,,,,,,,,,,,,,,
Inem malkhes fun kakao,"Amado, Jorge","Katz, Pinye",Cacau,Portuguese,Q1402523,Maybe translated from spanish,,,nybc205774,1956-01-01T00:00:00Z,301,71537528,Buenos Aires,Ikuf,1956,,,,,,,,,,,,,,
tankes in shlakht,"Amosov, S.","Blaykher, A.",unknown,Russian,,,,,nybc212871,1932-01-01T00:00:00Z,216,13601259,Minsk,Melukhe-farlag fun vaysrusland Yidsekter,1932,,,,,,,,,,,,,,
"Elye-luk-aye, oder, Di ziben teg fun vokh","Andersen, Hans Christian",unknown,Ole Lukøje,Danish,Q258749,,,,nybc203578,1914-01-01T00:00:00Z,219,9640758,Warsaw,Mayse'lekh,1914,,,,,,,,,,,,,,
Mayselekh: mit ilustratsyes,"Andersen, Hans Christian",Der Nister,"The Story of a Mother; The Ugly Duckling; The Nightingale; The Little Match Girl; Little Claus and Big Claus; The Garden of Paradise; Blockhead Hans; The Princess and the Pea; The Little Mermaid; Ole Lukøje; The Wild Swans; Thumbelina; The Buckwheat; The Snow Queen; The Emperor's New Clothes; The Daisy; The Flax; Little Ida’s Flowers; The Fir-Tree; The Steadfast Tin Soldier; What the Old Man Does is Always Right, ",Danish,,,,,nybc205768,1921-01-01T00:00:00Z,317,82695441,Warsaw,Kultur lige,1921,,,,,,,,,,,,,,
Di shney-malke a mayseh in zibn maysehlekh,"Andersen, Hans Christian",Der Nister,The Snow Queen,Danish,Q11880,,,,nybc212873,1955-01-01T00:00:00Z,552,16565213,Mexico City,kinder-literatur-fond Shakhno kaplan,1955,,,,,,,,,,,,,,
Dos heslikher katsherl di margaritke,"Andersen, Hans Christian",Der Nister,The Ugly Duckling; The Daisy,Danish,,,,,nybc212879,1921-01-01T00:00:00Z,464,6043642,Warsaw,Kultur lige,1921,,,,,,,,,,,,,,
Ole-luk-oye,"Andersen, Hans Christian",Der Nister,Ole Lukøje,Danish,Q258749,,,,nybc212872,1921-01-01T00:00:00Z,442,4452756,Warsaw,Kultur lige,1921,,,,,,,,,,,,,,
Mayselekh,"Andersen, Hans Christian",unknown,unknown,Danish,,anthology,,,nybc212881,1940-01-01T00:00:00Z,405,50642175,Kyiv,Ukrmelukhenatsmindfarlag,1940,,,,,,,,,,,,,,
A maysele Anale,"Andersen, Hans Christian",unknown,unknown,Danish,,anthology,,,nybc212880,2022-11-19T00:00:00Z,805,5330220,Lemberg,Arbeyt,unknown,,,,,,,,,,,,,,
Der flyendiker kufert,"Andersen, Hans Christian","Reyzen, Zalman",The Flying Trunk,Danish,Q692649,,,,nybc212877,1931-01-01T00:00:00Z,355,3211317,Vilne,Naye Yidishe folksshul,1931,,,,,,,,,,,,,,
Dos leben funʾm menshʾn :,"Andreyev, Leonid",Varshe un Lapin,Жизнь человека,Russian,Q28155372,,,,nybc214487,1910-01-01T00:00:00Z,90,101616435,New York,Mayzel et ko.,1910,,,,,,,,,,,,,,
Der Hunt un Petḳa oyf zumer ṿoynung,"Andreyev, Leonid","Hofstein, David","Кусака, Петка на Даче",Russian,,,,,nybc212885,1921-01-01T00:00:00Z,284,7587214,,[S.l.],1921,,,,,,,,,,,,,,
Ertsehlung vegen ziben gehangene,"Andreyev, Leonid",unknown,Рассказ о семи повешенных,Russian,Q1967576,,,,nybc203416,1923-01-01T00:00:00Z,111,35434358,Warsaw,Di velt,1923,,,,,,,,,,,,,,
Geklibene shriften fun Leonid Andreyev,"Andreyev, Leonid","Katts, M., 1864-1941",unknown,Russian,,anthology,,,nybc205788,1912-01-01T00:00:00Z,167,312452765,New York,Hibru poblishing kompani,1912,,,,,,,,,,,,,,
Gezamelte dramen,"Andreyev, Leonid",unknown,unknown,Russian,,anthology,,,nybc205771,1911-01-01T00:00:00Z,143,45062598,New York,Mayzel et ko.,1911,,,,,,,,,,,,,,
Der vos krigt di petsh aforshtelung in fir aktn,"Andreyev, Leonid","Morevski, Avraham, 1886","Тот, кто получает пощёчины",Russian,Q48940450,,,,nybc205840,1921-01-01T00:00:00Z,145,19963313,Warsaw,Farlag brider Levin-Epshtayn un shutfim,1921,,,,,,,,,,,,,,
Ertsehlung vegen zieben gehangene,"Andreyev, Leonid","Prilutski, Noyekh",Рассказ о семи повешенных,Russian,Q1967576,,,,nybc205791,1919-01-01T00:00:00Z,206,39890982,New York,Literarisher farlag,1919,,,,,,,,,,,,,,
Ertsehlung vegen zieben gehangene,"Andreyev, Leonid","Prilutski, Noyekh",Рассказ о семи повешенных,Russian,Q1967576,,,,nybc201533,1919-01-01T00:00:00Z,132,37139917,New York,Literarisher farlag,1919,,,,,,,,,,,,,,
In nayem veg,"Andriienko, Ivan Denisovich","Hoshteyn, F.",unknown,Russian,,https://ru.openlist.wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B8%D0%B5%D0%BD%D0%BA%D0%BE_%D0%98%D0%B2%D0%B0%D0%BD_%D0%94%D0%B5%D0%BD%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87_(1897),,,nybc212887,1932-01-01T00:00:00Z,212,37156228,Kharkiv,Melukhe farlag far di natsyonale minderheytn in USSR,1932,,,,Kyiv,,,,,,,,,,
Yanush kortshak,"Apenszlak, Pauline","Blumenfeld, Diana",Janusz Korczak,Polish,,,,,yanushkortsh00apen,1961-01-01T00:00:00Z,197,488049896,,Tsentral-farlag fun Yidn in Argentine,1961,,,,,,,,,,,,,,
Dos Roymishe rekht ekzistirt nisht mer dertseylung,"Aragon, Louis","Shlevin, Binyamin, 1913-1981",Le droit romain n'est plus,French,,,,,nybc210901,1949-01-01T00:00:00Z,166,7646713,Paris,Yidishe folks-bibliyotek],1949,,,,,,,,,,,,,,
Ertsehlungn,"Artsybashev, Mikhail",unknown,unknown,Russian,,,,,nybc206087,2022-05-19T00:00:00Z,144,34488397,New York,M. Yankovits,unknown,,,,,,,,,,,,,,
Di fergvaltigte novele,"Artsybashev, Mikhail",unknown,unknown,Russian,,,,,nybc204336,2021-09-19T00:00:00Z,107,9235321,New York,M. Yankovits,unknown,,,,,,,,,,,,,,
Di froyen oysgeklibine novelen,"Artsybashev, Mikhail",unknown,unknown,Russian,,anthology,,,nybc205971,2021-09-19T00:00:00Z,130,38300128,New York,Max Jankowitz,unknown,,,,,,,,,,,,,,
Dos lebn far'n folk ; Di shklavin,"Artsybashev, Mikhail","Teper, K.",Рабочий шевырев; Раба,Russian,,,,,nybc205959,1916-01-01T00:00:00Z,132,38304679,New York,Maks Mayzel,1916,,,,,,,"Lakson, L",,,,,,,
Eyferzukht a drama in finf aktn,"Artsybashev, Mikhail","Shveyd, Mark",Ревность,Russian,,,,,nybc205960,1914-01-01T00:00:00Z,130,22053920,New York,M. Gurevitsh farlag,1914,,,,,,,,,,,,,,
Tsvey groyse ertsehlungen Di gefalene un di reter ; groyl un finsternish,"Artsybashev, Mikhail",unknown,Ужас; Бунт,Russian,,,,,nybc205958,1916-01-01T00:00:00Z,117,30972274,New York,Maks Mayzel,1916,,,,,,,,,,,,,,
Di froy vos shteht in miten,"Artsybashev, Mikhail","Lakson, L","Женщина, стоящая посреди",Russian,,,,,nybc205972,1916-01-01T00:00:00Z,149,41507414,New York,Maks Mayzel,1916,,,,,,,,,,,,,,
a drame in finf akten ; Liebe un leydenshaft,"Artsybashev, Mikhail",unknown,unknown,Russian,,anthology,,,nybc205109,1910-01-01T00:00:00Z,149,43838149,London,Ḳulṭur,1910,,,,,,,,,,,,,,
Mener,"Artsybashev, Mikhail","Zaks, Sh.",unknown,Russian,,"anthology, first story is Uzhas",,,nybc205954,1929-01-01T00:00:00Z,110,51408572,Warsaw,Shelomoh Goldfarb,1929,,,,,,,,,,,,,,
Mirtala roman,"Orszeszkowa, Eliza","Frenk, E. N.",Mirtala,Polish,Q19147711,,,,nybc205952,1911-01-01T00:00:00Z,152,66960130,Warsaw,B. Shimin,1911,,,,,,,,,,,,,,
Der tsveyuntsvantsikster Oygust,"Asch, Nathan","Hodes, L.",Pay Day,English,,,,,nybc210617,1931-01-01T00:00:00Z,245,97838019,Warsaw,Kultur lige,1931,,,,,,,,,,,,,,
Yidn in Lite,"Atamukas, Solomonas","Garon, Aaron.",Žydai Lietuvoje,Lithuanian,,,,,nybc203627,1990-01-01T00:00:00Z,191,275225028,Vilne,Aktsye-gezekshaft Lituanus,1990,,,,,,,,,,,,,,
Baruch Shpinoza,"Auerbach, Berthold","Gorin, B.",Baruch Spinoza,German,,,,,nybc204748,1902-01-01T00:00:00Z,206,247469136,New York,Hibru poblishing kompani,1902,,,,,,,,,,,,,,
vos iz glik?,"Auerbach, Berthold","Mayer, Morris",unknown,German,,,,,nybc210958,2021-09-19T00:00:00Z,179,16649652,London,English Yudisher Ferlag,unknown,,,,,,,,,,,,,,
Ikh hob lib roman,"Avdeenko, Aleksander","Roykhl, Dovid",Я люблю,Russian,,,,,nybc203487,1938-01-01T00:00:00Z,118,58054822,Warsaw,Literarishe bleter,1938,,,,,,,,,,,,,,
Ikh hob lib,"Avdeenko, Aleksander","Fininberg, Ezra, 1899-1946",Я люблю,Russian,,,,,nybc210371,1934-01-01T00:00:00Z,165,70306737,Moscow,Emes,1934,,,,,,,,,,,,,,
Ikh hob lib roman,"Avdeenko, Aleksander","Roykhl, Dovid",Я люблю,Russian,,,,,nybc203488,1936-01-01T00:00:00Z,120,61609331,Warsaw,Literarishe bleter,1936,,,,,,,,,,,,,,
vos der tsimer dertseylt,"Avenarius, Vasily","Rabinovitsh, M. D.",Что комната говорит,Russian,,,,,nybc212902,1921-01-01T00:00:00Z,156,4081752,Białystok,Kultur lige,1921,,,,,,,,,,,,,,
A gelekhter nokh a shturm,"Averchenko, Arkady","Osherowtich, Mendl",unknown,Russian,,,,,nybc205468,1928-01-01T00:00:00Z,169,42575817,Warsaw,Bzshoza,1928,,,,,,,,,,,,,,
Oyf di felder fun Negev milkhome-togbukh,"Avnery, Uri","Shenhod, Shlomo",בשדות פלשת – 1948,Hebrew,,,,,nybc205443,1951-01-01T00:00:00Z,153,114984331,Tel-Aviv,Hotsaʼat Poalim,1951,,,,,,,,,,,,,,
vayt fun Moskve roman,"Azhaev, Vasily",unknown,Далеко от Москвы,Russian,Q4154152,,,3,nybc205538,1954-01-01T00:00:00Z,110,99691951,Buenos Aires,Heymland,1954,,,,,,,,,,,,,,
vayt fun Moskve roman,"Azhaev, Vasily",unknown,Далеко от Москвы,Russian,Q4154153,,,1,nybc205536,1954-01-01T00:00:00Z,139,80336323,Buenos Aires,Heymland,1954,,,,,,,,,,,,,,
vayt fun Moskve roman,"Azhaev, Vasily",unknown,Далеко от Москвы,Russian,Q4154154,,,1,nybc205559,1951-01-01T00:00:00Z,137,76000149,Warsaw,Yidish bukh,1951,,,,,,,,,,,,,,
vayt fun Moskve roman,"Azhaev, Vasily",unknown,Далеко от Москвы,Russian,Q4154155,,,2,nybc205537,1954-01-01T00:00:00Z,105,90548259,Buenos Aires,Heymland,1954,,,,,,,,,,,,,,
vayt fun Moskve roman,"Azhaev, Vasily",unknown,Далеко от Москвы,Russian,Q4154156,,,2,nybc205560,1951-01-01T00:00:00Z,132,72705547,Warsaw,Yidish bukh,1951,,,,,,,,,,,,,,
Di geshikhte fun mayn toybnshlak un andere dertseylungen,"Babel, Isaac","Meisel, Gitl, 1898-1985",История моей голубятни,Russian,,anthology,,,nybc205040,1927-01-01T00:00:00Z,615,35075532,Vilne,B. Kletskin,1927,,,,,,,,,,,,,,
Geshikhte der tsivilizatsyon in England,"Buckle, Henry Thomas","Bresler, A.",History of Civilization in England,English,Q42191029,,,,nybc202049,1900-01-01T00:00:00Z,160,29467718,Warsaw,[o. fg.],1900,,,,,,,,,,,,,,
Shir ashirim Aḳdomes̀ ; Ḥad gadye : fraye iberzetsung in Yidish in ferzn,Anonymous,"Backer, Abraham",שיר השירים; אקדמות; חד גדיא,Aramaic,,,,,nybc204960,1984-01-01T00:00:00Z,410,4601266,Tel-Aviv,Ha-Tikvah,1984,Rabbi Meir bar Yitzchak,Anonymous;,,,,,,,,,,,,
"Divre kheyn veseykhl glaykhvertlekh un anekdoten, sharfe un shpitsige, amolige un hayntige, humoristishe un ernste, Idishe un veltlekhe ...",unknown,unknown,unknown,,,anthology,,,nybc206038,1935-01-01T00:00:00Z,258,23893115,New York,Pardes,1935,,,,,,,,,,,,,,
Dos gezang fun neger-folk iberdikhtungen,unknown,"Bagish, Zishe",unknown,,,anthology,,,nybc201434,1936-01-01T00:00:00Z,439,2988397,Chicago,Farlag M. Tseshinski,1936,,,,,,,,,,,,,,
Torat khovat ha-levavot,Bahya ibn Pakuda,"Oguz, Arn-Dovid", كتاب الهداية إلى فرائض القلوب,Judaeo-Arabic,Q2367130,probably cross-translated via hebrew,,,nybc205132,2021-09-19T00:00:00Z,234,102440245,New York,Hibru poblishing kompani,unknown,,,,,,,,,,,,,,
Torat khovat ha-levavot,Bahya ibn Pakuda,"Oguz, Ahaon-David, 1865-1944", كتاب الهداية إلى فرائض القلوب,Judaeo-Arabic,Q2367131,probably cross-translated via hebrew,,,nybc205168,1925-01-01T00:00:00Z,204,103887939,New York,[o. fg.],1925,,,,,,,,,,,,,,
Torat khovat ha-levavot,Bahya ibn Pakuda,"Oguz, Ahaon-David, 1865-1945", كتاب الهداية إلى فرائض القلوب,Judaeo-Arabic,Q2367132,probably cross-translated via hebrew,,,nybc205169,1929-01-01T00:00:00Z,204,105535416,New York,[o. fg.],1929,,,,,,,,,,,,,,
Geklibene shriften,"Bakunin, Mikhail","Rocker, Rudolf",unknown,,,anthology,,,nybc206081,1919-01-01T00:00:00Z,276,69007882,New York,Kropotkin literatur gezelshaft,1919,,,,,,,,,,,,,,
Got un der shtat,"Bakunin, Mikhail","Yanovski, Shaʼul-Yosef, 1864-1939",Dieu et l’état,French,Q1369908,,,,nybc210848,1901-01-01T00:00:00Z,213,43797673,Leeds,Lidzer anarkhistishe grupe,1901,,,,,,,,,,,,,,
Di farmaskirte liebe roman,"Balzac, Honoré de",unknown,L'Amour masqué; La Grande Bretèche; ,French,,anthology,,,nybc206039,1919-01-01T00:00:00Z,145,29767457,New York,Literarisher farlag,1919,,,,,,,,,,,,,,
Frateli Bedini,"Bang, Herman","Eisland, Reuben, 1884-1955",Fratelli Bedini,Danish,,,,,nybc205177,1919-01-01T00:00:00Z,168,11860777,New York,Di heym,1919,,,,,,,,,,,,,,
Ohn a foterland roman,"Bang, Herman","Eisland, Reuben, 1884-1955",De uden Fædreland,Danish,Q104056669,ed. Markovski,,,nybc206067,1920-01-01T00:00:00Z,166,68553204,New York,Nay-tsayt,1920,,,,,,,,,,,,,,
Yeyshu Hanoytsri,"Barbusse, Henri","Rozmarin, B.",Jésus,French,,,,,nybc206094,1930-01-01T00:00:00Z,165,46471668,Warsaw,Bibliotek Mark Rakovski,1930,,,,,,,,,,,,,,
Milkhome,"Barbusse, Henri","Rakovski, Mark",Faits divers,French,,,,,nybc206096,1929-01-01T00:00:00Z,162,64636776,Warsaw,Bibliotek Mark Rakovski,1929,,,,,,,,,,,,,,
Di henker,"Barbusse, Henri","Rakovski, Mark",Les Bourreaux,French,,,,,nybc206095,1930-01-01T00:00:00Z,163,63589695,Warsaw,[o.fg.],1930,,,,,,,,,,,,,,
Dos fayer,"Barbusse, Henri","Varshavski, Bunim",Le Feu,French,Q1167837,,,,nybc206097,1931-01-01T00:00:00Z,165,148406062,Warsaw,Bzshosa (Brzoza),1931,,,,,,,,,,,,,,
A yingele farkert,"Barto, Agniya","Lipshits, M.",Ку – ку!,Russian,,"anthology, wrong",,,nybc212912,1935-01-01T00:00:00Z,172,5860506,Minsk,Melukhe-farlag fun vaysrusland,1935,,,,,,,,,,,,,,
Briderlekh,"Barto, Agniya",Kamenetski,Братшики,Russian,,wrong,,,nybc212909,1935-01-01T00:00:00Z,178,10158609,Minsk,Yidsekter M.P.fun vaysrusland,1935,,,,,,,,,,,,,,
Mishe,"Barta, Sandor","Gutyanski, Binyamin",Misa,Hungarian,,,,,nybc212910,1930-01-01T00:00:00Z,171,26947423,Kyiv,Kultur lige,1930,,,,,,,,,,,,,,
"Nu, a gutn, ikh gey avek!","Barto, Agniya","Bastomski, S., 1891-1941",unknown,Russian,,,,,nybc212911,1938-01-01T00:00:00Z,188,2292699,Vilne,Naye Yidishe shul,1938,,,,,,,,,,,,,,
Kh'hob lib mayn gas,"Baruzdin, Sergei",unknown,unknown,Russian,,anthology,,,nybc204805,1985-01-01T00:00:00Z,199,14035386,Moscow,Sovetski pisatel,1985,,,,,,,,,,,,,,
In di negl fun umkum,"Bas-Meltzer, Esther","Zhukhavitsky, Aaron",In the Claws of Destruction,English,,,,,nybc206082,1950-01-01T00:00:00Z,174,10802720,Montreal,[kh. mo. l.],1950,,,,,,,,,,,,,,
Dos bukh fun der nay-Erets-Yisroeldiker poezye antologye,"Basok, Mosheh",unknown,unknown,Hebrew,,anthology,,,nybc201227,1936-01-01T00:00:00Z,219,22973566,Warsaw,he-khaluts,1936,,,,,,,,,,,,,,
Maapilim-bukh,"Basok, Mosheh","Kalcheim, Moshe",ספר המעפילים,Hebrew,,,,,nybc201829,1949-01-01T00:00:00Z,171,147008774,Paris,Eyropeishn byuro fun der Tsienistisher velt-organizatsye,1949,,,,,,,,,,,,,,
Der kishefmakher un zayn zun a maysele baarbet loyt Br. Grim,The Brothers Grimm,"Bastomski, S., 1891-1941",De Gaudeif un sien Meester,German,Q19154304,,,,nybc204952,1921-01-01T00:00:00Z,211,1999428,Vilne,Naye Yidishe folksshul,1921,,,,,,,,,,,,,,
Di bafrayung fun di shvartse knekht baarbet loyt Gorbunov-Posadov u. and.,"Gorbunov-Pasadov, Ivan","Bastomski, S., 1891-1941",Освободители черных рабов,Russian,,,,,nybc204995,1922-01-01T00:00:00Z,178,35550430,Vilne,Naye Yidishe folksshul,1922,,,,,,,,,,,,,,
Di emese kale a maysele far klenere kinder,The Brothers Grimm,"Bastomski, S., 1891-1941",Die Wahre Braut,German,Q872008,,,,nybc212916,1920-01-01T00:00:00Z,245,2784516,Vilne,Naye Yidishe folksshul,1920,,,,,,,,,,,,,,
"Mentshn fun mayn dor lider, poemen, baladn un iberzetsungen ...",unknown,unknown,unknown,,,anthology,,,nybc206052,1953-01-01T00:00:00Z,155,30641321,Los Angeles,Aroysgegebn fun Elizabet un Robert Botshelis,1953,,,,,,,,,,,,,,
Di froy un der Sotsyalizmus = Die frau und der Sozialismus,"Bebel, August","Faygenboym, B",Die Frau und der Sozialismus,German,Q105745165,,,,nybc213510,1911-01-01T00:00:00Z,203,1251327291,Forverts,Forverts,1911,,,,,,,,,,,,,,
"a fortrag gehalten oyf dem ""Partey-tog"" in Yen dem 22-ten September 1905","Bebel, August",unknown,unknown,German,,,,,nybc202214,1906-01-01T00:00:00Z,163,7899163,Warsaw,Tsayt bibliyotek,1906,,,,,,,,,,,,,,
Politishe ferbrekher un sotsyal demokratiye,"Bebel, August",unknown,unknown,German,,,,,nybc201329,1905-01-01T00:00:00Z,158,6172745,Warsaw,Ferlag Tsayt Bibliotek,1905,,,,,,,,,,,,,,
Mayseh'lakh fun vaytn Indyen,"Babbitt, Ellen C.","Farber, H.",Jataka Tales,English,,,,,nybc212939,1919-01-01T00:00:00Z,223,9246442,Moscow,aroysgegebn fun dem Idishn komisaryat un der Idisher opteylung baym Tsentraln bildungs-komisaryat,1919,,,,,,,,,,,,,,
Der oyfshtand zikhroynes funem komendant fun Irgun Tsevi Leumi in Erts-Yisroel,"Begin, Menakhem","Rembah, A., 1907-1969",המרד,Hebrew,Q7760542,,,,nybc206171,1953-01-01T00:00:00Z,240,154237327,Buenos Aires,Shelakh,1953,,,,,,,,,,,,,,
Panfilovs mentshn,"Bek, Aleksandr","Volanski, Meir, 1891-1958",Резерв генерала панфилова,Russian,,,,,nybc206289,1947-01-01T00:00:00Z,107,67309736,Buenos Aires,Ikuf,1947,,,,,,,,,,,,,,
Herkules fars in 1 akt,"Bell, G","Zylbercweig, Zalmen",unknown,,,,,,nybc201309,1919-01-01T00:00:00Z,181,12424544,Warsaw,A. Gitlin,1919,,,,,,,,,,,,,,
Di faktorn un oyfgabn fun Tsienizm in itstikn moment,"Ben-Gurion, David",unknown,unknown,Hebrew,,,,,nybc212756,1935-01-01T00:00:00Z,102,78690325,Jerusalem,Hanhalat ha-sokhnut ha-Yehudit le-'Erets-Yiśra'el,1935,,,,London,,,,,,,,,,
Unzer shliḥes,"Ben-Gurion, David",unknown,unknown,Hebrew,,anthology,,,unzershlihes00beng,1934-01-01T00:00:00Z,155,662514730,,Lige farn arbetendn Erets Yisroel,1934,,,,,,,,,,,,,,
Yidishe arbet in'm oyfboy fun erets-Yiśroel,"Ben-Gurion, David",unknown,עבודה עברית,Hebrew,,,,,yidishearbetin00beng,1932-01-01T00:00:00Z,150,107929588,,Velt-lige farn arbetndn Erets-Yisroel,1932,,,,,,,,,,,,,,
Dos bukh fun ferat,"Ben-Gurion, David",unknown,ספר המעל,Hebrew,,,,,nybc204931,1939-01-01T00:00:00Z,130,13388381,Jerusalem,Ha-nahalat ha-sokhnut ha-Yehudit le-Erets-Yisraʼel,1939,,,,,,,,,,,,,,
Netsakh Yisroel,"Ben-Gurion, David",unknown,נצח ישראל,Hebrew,,,,,nybc206279,1954-01-01T00:00:00Z,169,95054954,Buenos Aires,Ḳiyem,1954,,,,,,,,,,,,,,
vegn dem komunizm un dem tsienizm fun ha-shoymer ha-tsair,"Ben-Gurion, David","Flakser, Fela",על הקומוניסם והציונות של השומר הצעיר,Hebrew,,,,,nybc210607,1953-01-01T00:00:00Z,161,60332675,Tel-Aviv,Ikhud Olami Poale Tsiyon (Ts. S.)-Hitʼakhdut,1953,,,,,,,,,,,,,,
"Erets Yisroel: geografye, geshikhte, rekhtlikhe ferheltnise, befelkerung, landvirtshaft, handel un industrye","Ben-Gurion, David",unknown,ארץ-ישראל בעבר ובהווה,Hebrew,,,,,nybc200132,1918-01-01T00:00:00Z,312,334280430,New York,Poyle Tsien Palestina komitet,1918,"Ben-Zvi, Itzhak",,,,,,,,,,,,,
Yisker tsum ondenken di gefalene vekhter un arbeyter in Erets Yisroel,unknown,unknown,unknown,,,anthology,,,nybc200396,1917-01-01T00:00:00Z,447,45941996,New York,Poyle Tsien Palestina komitet,1917,,,,,,,,,,,,,,
Di Histadrut in kamf un boyen an entfer di gegner fun dem Organizirtn Idishn arbeter in Erets-Yisroel,"Ben-Gurion, David",unknown,תנועת הפועלים והרוויזיוניסמוס,Hebrew,,,,,nybc204518,1933-01-01T00:00:00Z,144,14171504,New York,Lige farn arbetendn Erets Yisroel,1933,,,,,,,,,,,,,,
